houstonbaptist,:houstonbaptist: Houston Baptist,,,
incarnateword,:incarnateword: Incarnate Word,,,
lamar,:lamar: Lamar,,,
mcneese,:mcneese: Mcneese,,,
nicholls,:nicholls: Nicholls,,,
northwesternstate,:northwesternstate: Northwestern State,,,
samhoustonstate,:samhoustonstate: Sam Houston State,,,
southeasternlouisiana,:southeasternlouisiana: Southeastern Louisiana,,,
stephenfaustin,:stephenf.austin: Stephen F. Austin,,,
alabamaam,:alabamaam: Alabama A&M,,,
alabamastate,:alabamastate: Alabama State,,,
alcornstate,:alcornstate: Alcorn State,,,
grambling,:grambling: Grambling,,,
jacksonstate,:jacksonstate: Jackson State,,,
mvsu,:mvsu: MVSU,,,
prairieviewam,:prairieviewam: Prairie View A&M,,,
southern,:southern: Southern,,,
texassouthern,:texassouthern: Texas Southern,,,
uapb,:arkansaspinebluff: Arkansas Pine-Bluff,,,
bowiestate-sheet2-row02-col01,:bowiestate: Bowie State,,,
chowan-sheet2-row02-col02,:chowan: Chowan,,,
elizabethcitystate-sheet2-row02-col03,:elizabethcitystate: Elizabeth City State,,,
fayettevillestate-sheet2-row02-col04,:fayettevillestate: Fayetteville State,,,
johnsoncsmith-sheet2-row02-col05,:johnsonc.smith: Johnson C. Smith,,,
lincolnpa-sheet2-row02-col06,:lincoln(pa): Lincoln (PA),,,
livingstone-sheet2-row02-col07,:livingstone: Livingstone,,,
shawuniversity-sheet2-row02-col08,:shaw: Shaw,,,
staugustines-sheet2-row02-col09,:st.augustine's: St. Augustine's,,,
virginiastate-sheet2-row02-col10,:virginiastate: Virginia State,,,
virginiaunion-sheet2-row02-col11,:virginiaunion: Virginia Union,,,
winstonsalemstate-sheet2-row02-col12,:winstonsalemstate: Winston-Salem State,,,
aldersonbroaddus-sheet2-row03-col01,:aldersonbroaddus: Alderson Broaddus,,,
kentuckywesleyan-sheet2-row03-col02,:kentuckywesleyan: Kentucky Wesleyan,,,
malone-sheet2-row03-col03,:malone: Malone,,,
findlay-sheet2-row03-col04,:findlay: Findlay,,,
hillsdale-sheet2-row03-col05,:hillsdale: Hillsdale,,,
lakeerie-sheet2-row03-col06,:lakeerie: Lake Erie,,,
ohiodominican-sheet2-row03-col07,:ohiodominican: Ohio Dominican,,,
tiffin-sheet2-row03-col08,:tiffin: Tiffin,,,
walsh-sheet2-row03-col09,:walsh: Walsh,,,
arkansastech-sheet2-row04-col01,:arkansastech: Arkansas Tech,,,
arkansasmonticello-sheet2-row04-col02,:arkansasmonticello: Arkansas-Monticello,,,
eastcentral-sheet2-row04-col03,:eastcentral: East Central,,,
harding-sheet2-row04-col04,:harding: Harding,,,
hendersonstate-sheet2-row04-col05,:hendersonstate: Henderson State,,,
northwestoklahomastate-sheet2-row04-col06,:northwestern(ok): Northwestern (OK),,,
oklahomabaptist-sheet2-row04-col07,:oklahomabaptist: Oklahoma Baptist,,,
ouachitabaptist-sheet2-row04-col08,:ouachitabaptist: Ouachita Baptist,,,
seoklahomastate-sheet2-row04-col09,:seoklahomastate: SE Oklahoma State,,,
southernarkansas-sheet2-row04-col10,:southernarkansas: Southern Arkansas,,,
southernnazarene-sheet2-row04-col11,:southernnazarene: Southern Nazarene,,,
swoklahomastate-sheet2-row04-col12,:swoklahomastate: SW Oklahoma State,,,
ashland-sheet2-row05-col01,:ashland: Ashland,,,
davenport-sheet2-row05-col02,:davenport: Davenport,,,
ferrisstate-sheet2-row05-col03,:ferrisstate: Ferris State,,,
